Museum ID,Museum Name,Legal Name,Alternate Name,Museum Type,Institution Name,Street Address (Administrative Location),City (Administrative Location),State (Administrative Location),Zip Code (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
8400200123,ALASKA NATIVE HERITAGE CENTER,ALASKA NATIVE HERITAGE CENTER INC,,GENERAL MUSEUM,,8800 HERITAGE CENTER DRIVE,ANCHORAGE,AK,99504,,,,,9073308000,61.23361,-149.71566,1,20,2,6,920127531,201403,4502727,4050394
8409500006,ALASKA SEALIFE CENTER,ALASKA SEALIFE CENTER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,301 RAILWAY AVENUE - PO BOX 1329,SEWARD,AK,99664,301 RAILWAY AVENUE - PO BOX 1329,SEWARD,AK,99664,9072246300,60.20885,-149.38716,4,122,2,6,,,,
8400200082,ALASKA SPORTS HALL OF FAME,ALASKA SPORTS HALL OF FAME INC,,GENERAL MUSEUM,,6740 SAMUEL CT,ANCHORAGE,AK,99516,14815 ECHO CANYON RD,ANCHORAGE,AK,99516,,61.08741,-149.6926,4,20,2,6,810649085,201312,1370930,615273
8400200044,ALASKA STATE MUSEUM,FRIENDS OF THE ALASKA STATE MUSEUM,,GENERAL MUSEUM,,395 WHITTIER ST,JUNEAU,AK,99801,,,,,9074652901,58.30048,-134.4148,3,110,2,6,237067119,201312,182675,129192
8400200133,ALASKA TERRITORIAL CAVALRY MOTORIZED,ALASKA TERRITORIAL CAVALRY MOTORIZED,ALASKA TERRITORIAL CAVALRY MOTORIZED,GENERAL MUSEUM,,5910 DEBARR ROAD,ANCHORAGE,AK,99516,,,,,9075625359,61.19007,-149.91195,1,20,2,6,920145434,201412,0,0
8400200026,ALASKA TROOPER MUSEUM,FRATERNAL ORDER OF ALASKA STATE TROOPERS CHARITY CORPORATIO,,GENERAL MUSEUM,,245 W 5TH AVE,ANCHORAGE,AK,99501,,,,,9072795050,61.21765,-149.88622,1,20,2,6,920091086,201312,769702,221807
8400200031,ALASKA VETERANS MUSEUM,ALASKA VETERANS MUSEUM,,HISTORY MUSEUM,,334 W 4TH AVENUE 227,ANCHORAGE,AK,99501,,,,,9076778802,61.21406,-149.87855,1,20,2,6,30382080,201412,0,0
8400200170,ALASKA WILDLIFE CONSERVATION CENTER,ALASKA WILDLIFE CONSERVATION CENTER INC,,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,PO BOX 848,GIRDWOOD,AK,99587,,,,,9072275764,60.96435,-149.13368,4,20,2,6,920170600,201312,3331564,2793744
8400200087,ALASKA ZOO,ALASKA ZOO,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,4731 OMALLEY RD,ANCHORAGE,AK,99507,4731 OMALLEY RD,ANCHORAGE,AK,99507,9073462133,61.12476,-149.79254,1,20,2,6,920039344,201312,3310088,2393748
8400200025,ALASKALAND PIONEER AIR MUSEUM,ALASKALAND PIONEER AIR MUSEUM,,GENERAL MUSEUM,,AIRPORT WAY,FAIRBANKS,AK,99707,,,,,9074510037,64.84231,-147.72457,1,90,2,6,,,,
8400200109,ALPINE HISTORICAL SOCIETY,ALPINE HISTORICAL SOCIETY,,HISTORIC PRESERVATION,,PO BOX 266,SUTTON,AK,99674,,,,,9077457000,61.76392,-148.38192,4,170,2,6,920101994,201412,157509,157509
8400200152,ALUTIIQ HERITAGE ENDOWMENT,THE ALUTIIQ HERITAGE ENDOWMENT,,HISTORIC PRESERVATION,,4300 B ST STE 407,ANCHORAGE,AK,99503,4300 B ST,ANCHORAGE,AK,99503,9075612668,61.18152,-149.88518,1,20,2,6,920177435,201312,331826,15734
8400200135,ALUTIIQ HERITAGE FOUNDATION,ALUTIIQ HERITAGE FOUNDATION,ALUTIIQ MUSEUM ARCHAEOLOGICAL REPOSITORY,GENERAL MUSEUM,,215 MISSION RD STE 101,KODIAK,AK,99615,,,,,9074867004,57.78869,-152.4025,3,150,2,6,920150422,201312,1103875,1055839
8400200024,AMERICAN TROPHY TAXIDERMY,AMERICAN TROPHY TAXIDERMY,,GENERAL MUSEUM,,41653 STERLING HWY,SOLDOTNA,AK,99669,,,,,9072627950,60.50184,-150.98965,4,122,2,6,,,,
8400200137,ANCHORAGE CLAY ARTS GUILD,ANCHORAGE CLAY ARTS GUILD,,ART MUSEUM,,PO BOX 241151,ANCHORAGE,AK,99524,,,,,,61.18495,-149.89178,1,,2,6,920156423,201412,0,0
8400200132,ANCHORAGE GENEALOGICAL SOCIETY,ANCHORAGE GENEALOGICAL SOCIETY,,HISTORIC PRESERVATION,,PO BOX 242294,ANCHORAGE,AK,99524,,,,,,61.18495,-149.89178,1,20,2,6,920143639,201409,8282,8282
8400200121,ANCHORAGE HISTORIC PROPERTIES,ANCHORAGE HISTORIC PROPERTIES INC,,HISTORIC PRESERVATION,,645 WEST 3RD AVENUE,ANCHORAGE,AK,99501,,,,,9072743600,61.21978,-149.89524,1,20,2,6,920119470,,,
8400200125,ANCHORAGE MUSEUM,ANCHORAGE MUSEUM FOUNDATION,,GENERAL MUSEUM,,121 WEST SEVENTH AVENUE,ANCHORAGE,AK,99501,625 C STREET,ANCHORAGE,AK,99501,9079299200,61.21608,-149.8853,1,20,2,6,920129376,201312,6851982,4116780
8409502704,ARC GALLERY,UNIVERSITY OF ALASKA,,ART MUSEUM,UNIVERSITY OF ALASKA ANCHORAGE,3211 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,,,,,9077861766,64.81712,-147.87837,2,90,2,6,926000147,201306,,
8400200028,BARANOV MUSEUM,KODIAK HISTORICAL SOCIETY,,HISTORIC PRESERVATION,,101 MARINE WAY,KODIAK,AK,99615,,,,,9074865920,57.7885,-152.39915,3,150,2,6,926002560,201306,333248,288158
8400200069,BRISTOL BAY HISTORICAL SOCIETY,BRISTOL BAY HISTORICAL SOCIETY INC,BRISTOL BAY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,PO BOX 276,NAKNEK,AK,99633,,,,,,58.85984,-156.71037,4,60,2,6,510174974,201212,0,0
8400200168,BUNNELL STREET GALLERY,BUNNELL STREET ARTS CENTER,,ART MUSEUM,,106 W BUNNELL AVE,HOMER,AK,99603,,,,,9072352662,59.64002,-151.54459,4,122,2,6,943220880,201312,335104,335104
8400200060,CAPE DECISION LIGHTHOUSE SOCIETY,CAPE DECISION LIGHTHOUSE SOCIETY,,HISTORIC PRESERVATION,,224 KATLIAN ST,SITKA,AK,99835,,,,,,57.05246,-135.3427,3,220,2,6,311591643,201412,0,0
8400200145,CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,,HISTORIC PRESERVATION,,PO BOX 1023,CORDOVA,AK,99574,,,,,9074245182,60.07439,-147.99241,4,261,2,6,920165946,201312,59819,59819
8409502921,CARR-GOTTSTEIN GALLERY,ALASKA PACIFIC UNIVERSITY,,ART MUSEUM,ALASKA PACIFIC UNIVERSITY,4101 UNIVERSITY DRIVE,ANCHORAGE,AK,99508,,,,,8002527528,61.18889,-149.80347,1,20,2,6,920023588,201306,66512448,63692296
8400200171,CENTER FOR ALASKAN COASTAL STUDIES,CENTER FOR ALASKAN COASTAL STUDIES,,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,708 SMOKEY BAY WAY,HOMER,AK,99603,708 SMOKEY BAY WAY,HOMER,AK,99603,9072356756,59.64585,-151.52423,4,122,2,6,920086250,201312,914275,908922
8400200051,CHILDREN'S MUSEUM OF ALASKA,CHILDRENS MUSEUM OF ALASKA,,CHILDREN'S MUSEUM,,PO BOX 112772,ANCHORAGE,AK,99511,,,,,,61.11024,-149.86107,1,20,2,6,261910346,,,
8400200136,CHILKAT INDIAN VILLAGE,FOUNDATION FOR THE CHILKAT CENTER FOR THE ARTS,CHILKAT INDIAN VILLAGE,HISTORIC PRESERVATION,,PO BOX 1004,HAINES,AK,99827,32 CHILKAT AVE,KLUKWAN,AK,99827,9077675505,59.24675,-135.47365,4,,2,6,920155562,201306,0,0
8400200070,CHILKAT VALLEY HISTORICAL SOCIETY,CHILKAT VALLEY HISTORICAL SOCIETY INC,,HISTORIC PRESERVATION,,BOX 623,HAINES,AK,99827,11 MAIN STREET,HAINES,AK,99827,9077662366,59.24675,-135.47365,4,,2,6,510180584,201406,0,0
8400200134,CHUGIAK-EAGLE RIVER HISTORICAL SOCIETY,CHUGIAK-EAGLE RIVER HISTORICAL SOCIETY,,HISTORIC PRESERVATION,,PO BOX 670573,CHUGIAK,AK,99567,18606 OLD GLENN HIGHWAY,CHUGIAK,AK,99567,9076884706,61.38967,-149.47465,4,20,2,6,920147295,201412,0,0
8400200099,CIRCLE DISTRICT HISTORICAL SOCIETY,CIRCLE DISTRICT HISTORICAL SOCIETY,,HISTORIC PRESERVATION,,PO BOX 30189,CENTRAL,AK,99730,,,,,9075201893,65.34556,-145.14026,4,290,2,6,920074363,201406,0,0
8400200067,CLAUDIA KELSEY DOLL MUSEUM,CLAUDIA KELSEY DOLL MUSEUM TR DBA AUNT CLAUDIAS DOLLS A MUS,,GENERAL MUSEUM,,114 S FRANKLIN ST STE 103,JUNEAU,AK,99801,114 S FRANKLIN ST SUITE #102,JUNEAU,AK,99801,9075864969,58.3005,-134.40561,3,110,2,6,456688579,201312,0,0
8400200105,CLAUSEN MEMORIAL MUSEUM,CLAUSEN MEMORIAL MUSEUM,,HISTORY MUSEUM,,PO BOX 708,PETERSBURG,AK,99833,203 FRAM ST,PETERSBURG,AK,99833,9077723598,56.80634,-132.96963,4,,2,6,920089647,201406,86045,86045
8400200023,COLONY HOUSE MUSEUM,COLONY HOUSE MUSEUM,,GENERAL MUSEUM,,316 E ELMWOOD AVE,PALMER,AK,99645,,,,,9077451935,61.59873,-149.11008,3,170,2,6,,,,
8400200097,COPPER VALLEY HISTORICAL SOCIETY,COPPER VALLEY HISTORICAL SOCIETY,,HISTORIC PRESERVATION,,PO BOX 84,COPPER CENTER,AK,99573,101 LOOP RD,COPPER CENTER,AK,99573,9078225285,61.92025,-145.38294,4,,2,6,920067823,201404,0,0
8400200163,CORDOVA HISTORICAL SOCIETY,CORDOVA HISTORICAL SOCIETY,,HISTORIC PRESERVATION,,PO BOX 391,CORDOVA,AK,99574,622 1ST ST,CORDOVA,AK,99574,9074246665,60.07439,-147.99241,4,,2,6,926010338,201312,47693,34193
8400200177,DENALI NATIONAL PARK AND PRESERVE,DENALI EDUCATION CENTER,,HISTORIC PRESERVATION,,PO BOX 9,DENALI PARK,AK,99755,,,,,9076839536,63.62586,-150.90305,4,68,2,6,920131177,201312,1422621,1416741
8400200127,DOG MUSHING MUSEUM,DOG MUSHING MUSEUM,,GENERAL MUSEUM,,PO BOX 80136,FAIRBANKS,AK,99708,410 CUSHMAN STREET,FAIRBANKS,AK,99708,9074573669,64.84166,-147.72054,1,90,2,6,920133850,,,
8400200020,DOROTHY G PAGE MUSEUM,DOROTHY G PAGE MUSEUM,,GENERAL MUSEUM,,323 N MAIN ST,WASILLA,AK,99654,,,,,9073739071,61.58234,-149.44139,3,170,2,6,,,,
8400200022,EAGLE HISTORICAL SOCIETY,EAGLE HISTORICAL SOCIETY OF ALASKA,,HISTORIC PRESERVATION,,PO BOX 670573,EAGLE CITY,AK,99738,,,,,9075472325,64.78917,-141.20294,4,240,2,6,920093792,201312,16773,14657
8400200106,EAGLE HISTORICAL SOCIETY OF ALASKA,EAGLE HISTORICAL SOCIETY OF ALASKA,,HISTORIC PRESERVATION,,PO BOX 23,EAGLE,AK,99738,3RD,EAGLE,AK,99738,9075472325,64.78917,-141.20294,4,,2,6,920093792,201312,16773,14657
8400200172,EAGLE RIVER NATURE CENTER,FRIENDS OF EAGLE RIVER NATURE CENTER INC,,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,32750 EAGLE RIVER ROAD,EAGLE RIVER,AK,99508,32750 EAGLE RIVER ROAD,EAGLE RIVER,AK,99508,9076942108,61.23644,-149.27332,4,20,2,6,920156981,201312,295812,268677
8400200055,FAIRBANKS CHILDREN'S MUSEUM,FAIRBANKS CHILDRENS MUSEUM,,CHILDREN'S MUSEUM,,PO BOX 72477,FAIRBANKS,AK,99707,302 CUSHMAN STREET SUITE 101,FAIRBANKS,AK,99707,,64.84217,-147.72078,1,90,2,6,264095584,201312,156377,156377
8400200130,FAIRBANKS COMMUNITY MUSEUM,THE FAIRBANKS COMMUNITY MUSEUM,,HISTORY MUSEUM,,410 CUSHMAN STREET,FAIRBANKS,AK,99701,,,,,9074573669,64.84231,-147.72457,1,90,2,6,920139287,201409,0,0
8400200034,FAIRBANKS HOCKEY HALL OF FAME,FAIRBANKS HOCKEY HALL OF FAME INC,,GENERAL MUSEUM,,219 SLATER DR,FAIRBANKS,AK,99701,,,,,,64.83881,-147.70136,1,90,2,6,201276510,201312,35320,31075
8400200019,FAIRBANKS ICE MUSEUM,FAIRBANKS ICE MUSEUM,,GENERAL MUSEUM,,500 2ND AVE,FAIRBANKS,AK,99701,,,,,9074518222,64.84363,-147.71794,1,90,2,6,,,,
8409503302,GARY L. FREEBURG ART GALLERY,UNIVERSITY OF ALASKA,,ART MUSEUM,KENAI PENINSULA COLLEGE,3211 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,,,,,,64.81712,-147.87837,2,90,2,6,926000147,201306,,
8400200114,GASTINEAU CHANNEL HISTORICAL SOCIETY,GASTINEAU CHANNEL HISTORICAL SOCIETY,,HISTORIC PRESERVATION,,PO BOX 21264,JUNEAU,AK,99802,1001 BASIN RD,JUNEAU,AK,99802,9075865338,58.30836,-134.39819,4,110,2,6,920111895,201312,0,0
8400200178,GATES OF THE ARCTIC NATIONAL PARK AND PRESERVE,GATES OF THE ARCTIC NATIONAL PARK AND PRESERVE,,HISTORIC PRESERVATION,,4175 GEIST ROAD,FAIRBANKS,AK,99709,,,,,9074550632,64.84911,-147.83878,2,90,2,6,,,,
8409502161,GEORGESON BOTANICAL GARDEN,UNIVERSITY OF ALASKA,,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",UNIVERSITY OF ALASKA FAIRBANKS,117 WEST TANANA DRIVE,FAIRBANKS,AK,99709,,,,,9074747222,64.81712,-147.87837,2,90,2,6,926000147,201306,,
8400200180,GLACIER BAY NATIONAL PARK & PRESERVE,GLACIER BAY NATIONAL PARK & PRESERVE,,HISTORIC PRESERVATION,,PO BOX 140,GUSTAVUS,AK,99826,,,,,9076972230,58.82437,-136.97103,4,105,2,6,,,,
8400200075,GLENN HIGHWAY SCENIC BYWAY ASSOCIATION,GLENN HIGHWAY SCENIC BYWAY ASSOCIATION INC,,HISTORIC PRESERVATION,,PO BOX 773423,EAGLE RIVER,AK,99577,,,,,,61.31504,-149.52682,3,20,2,6,680561000,201212,0,0
8400200081,GOLDBELT HERITAGE FOUNDATION,GOLDBELT HERITAGE FOUNDATION,,HISTORIC PRESERVATION,,3075 VINTAGE BLVD SUITE 200,JUNEAU,AK,99801,3200 HOSPITAL DRIVE SUITE 203,JUNEAU,AK,99801,9077901424,58.33036,-134.47205,3,110,2,6,810645819,201312,1549084,1549084
8400200039,GUSTAVUS HISTORICAL ARCHIVES AND ANTIQUITIES,GUSTAVUS HISTORICAL ARCHIVES ANDANTIQUITIES,,HISTORIC PRESERVATION,,PO BOX 14,GUSTAVUS,AK,99826,,,,,9076973042,58.82437,-136.97103,4,105,2,6,205090234,201212,0,0
8400200056,HAL HOPKINS WW II MEMORIAL,HAL HOPKINS WW II MEMORIAL INC,,HISTORIC PRESERVATION,,5929 CAMDEN CIR,ANCHORAGE,AK,99504,,,,,,61.19491,-149.76884,1,20,2,6,270251570,201412,0,0
8400200074,HAMMER MUSEUM,HAMMER MUSEUM INC,,HISTORY MUSEUM,,PO BOX 702,HAINES,AK,99827,108 MAIN ST,HAINES,AK,99827,9077662374,59.24675,-135.47365,4,,2,6,571199151,201412,0,0
8400200063,HISTORIC HALL,HISTORIC HALL INC,,HISTORIC PRESERVATION,,PO BOX 80589,FAIRBANKS,AK,99708,,,,,,64.85079,-147.82945,2,90,2,6,383749864,201403,0,0
8400200158,HOMER SOCIETY OF NATURAL HISTORY,HOMER SOCIETY OF NATURAL HISTORY INC,,NATURAL HISTORY MUSEUM,,3779 BARTLETT ST,HOMER,AK,99603,,,,,,59.6447,-151.5504,4,122,2,6,926002856,201312,780811,742408
8400200046,HOPE AND SUNRISE HISTORICAL SOCIETY,HOPE AND SUNRISE HISTORICAL SOCIETY,,HISTORIC PRESERVATION,,PO BOX 88,HOPE,AK,99605,64851 SECOND STREET,HOPE,AK,99605,9077823740,60.88669,-149.54407,4,,2,6,237213390,201412,0,0
8400200016,HOPE AND SUNRISE MUSEUM,HOPE AND SUNRISE MUSEUM,,GENERAL MUSEUM,,2ND ST,HOPE,AK,99605,64851 2ND STREET; PO BOX 88,HOPE,AK,99605,9077823740,60.88669,-149.54407,4,122,2,6,,,,
8400200064,HUBBELL FAMILY HISTORICAL SOCIETY,HUBBELL FAMILY HISTORICAL SOCIETY,,HISTORIC PRESERVATION,,PO BOX 1390,KENAI,AK,99611,,,,,,60.58442,-151.23509,4,122,2,6,431262322,201412,0,0
8400200146,IDITAROD NATIONAL HISTORIC TRAIL,IDITAROD NATIONAL HISTORIC TRAIL INC,,HISTORIC PRESERVATION,,PO BOX 2323,SEWARD,AK,99664,2323 HIALEAH DRIVE,ANCHORAGE,AK,99664,9072747165,61.19811,-149.92363,1,20,2,6,920165948,201409,91510,91510
8409401168,IDITAROD TRAIL SLED DOG RACE MUSEUM,IDITAROD TRAIL SLED DOG RACE MUSEUM,,GENERAL MUSEUM,,2100 S KNIK-GOOSE BAY ROAD,WASILLA,AK,99687,2100 S KNIK-GOOSE BAY ROAD,WASILLA,AK,99687,,61.56479,-149.45177,3,170,21,6,,,,
8400200124,INTERNATIONAL GALLERY OF CONTEMPORARY ARTS,INTERNATIONAL GALLERY OF CONTEMPORARY ARTS INC,,ART MUSEUM,,PO BOX 100239,ANCHORAGE,AK,99510,427 D ST,ANCHORAGE,AK,99510,9072791116,61.21824,-149.88931,1,20,2,6,920128343,201312,48842,39227
8400200090,INUPIAT HERITAGE CENTER,INUPIAT HERITAGE CENTER,,GENERAL MUSEUM,,5421 N STAR ST,BARROW,AK,99723,5421 N STAR ST,BARROW,AK,99723,9078520422,70.66976,-155.14303,4,,2,6,920042378,,,
8400200059,JENSEN-OLSON ARBORETUM,FRIENDS OF JENSEN-OLSON ARBORETUM,,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,23035 GLACIER HIGHWAY,JUNEAU,AK,99801,23035 GLACIER HIGHWAY,JUNEAU,AK,99801,9077890139,58.48383,-134.77955,4,110,2,6,272917330,201406,0,0
8400200043,JESSE LEE HOME,FRIENDS OF THE JESSE LEE HOME,,HISTORIC PRESERVATION,,745 W 4TH AVENUE SUITE 250,SEWARD,AK,99501,,,,,9078658901,60.20885,-149.38716,4,122,2,6,263774589,201312,1037819,1037819
8409502246,JEWELL GARDENS,JEWELL GARDENS,,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,MILE 1 KLONDIKE HIGHWAY,SKAGWAY,AK,99840,MILE 1 KLONDIKE HIGHWAY,SKAGWAY,AK,99840,,59.45637,-135.31356,4,,2,6,,,,
8400200079,JILKAAT KWAAN HERITAGE CENTER,JILKATT KWANN CULTURAL HERITAGE CENTER - BALD EAGLE OBSERVA,,GENERAL MUSEUM,,PO BOX 976,HAINES,AK,99827,32 CHILKAT AVE,HAINES,AK,99827,9077675485,59.24675,-135.47365,4,,2,6,731652033,201312,78314,78314
8400200015,JUNEAU DOUGLAS CITY MUSEUM,FRIENDS OF THE JUNEAU-DOUGLAS CITY MUSEUM,,GENERAL MUSEUM,,155 S SEWARD,JUNEAU,AK,99801,,,,,9075863572,58.30418,-134.42701,3,110,2,6,270980810,201312,0,0
8400200164,KACHEMAK HERITAGE LAND TRUST,KACHEMAK HERITAGE LAND TRUST INC,,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,315 KLONDIKE AVE,HOMER,AK,99603,,,,,9072355263,59.64583,-151.53416,4,122,2,6,943104608,201312,454933,287801
8400200166,KAKE TRIBAL HERITAGE FOUNDATION,KAKE TRIBAL HERITAGE FOUNDATION,,HISTORIC PRESERVATION,,PO BOX 317,KAKE,AK,99830,PO BOX 317,KAKE,AK,99830,9077853165,56.97824,-133.94876,4,195,2,6,943149724,201312,0,0
8400200151,KASILOF REGIONAL HISTORICAL ASSOCIATION,KASILOF REGIONAL HISTORICAL ASSOCIATION,,HISTORIC PRESERVATION,,PO BOX 3,KASILOF,AK,99610,MILE 75 KALIFORNSKY BEACH ROAD,KASILOF,AK,99610,9072622999,60.33002,-151.28922,4,,2,6,920172991,201312,37843,37598
8400200181,KATMAI NATIONAL PARK AND PRESERVE,KATMAI NATIONAL PARK AND PRESERVE,,HISTORIC PRESERVATION,,PO BOX 7,KING SALMON,AK,99613,,,,,9072463305,58.70992,-156.65631,4,60,2,6,,,,
8400200038,KENAI BICENTENNIAL VISITORS AND CULT. CENTER,KENAI BICENTENNIAL VISITORS AND CULT. CENTER,,GENERAL MUSEUM,,11471 KENAI SPUR HWY,KENAI,AK,99611,,,,,9072831991,60.55468,-151.26121,3,122,2,6,204609315,,,
8400200184,KENAI FJORDS NATIONAL PARK HEADQUARTERS,KENAI FJORDS NATIONAL PARK HEADQUARTERS,,HISTORIC PRESERVATION,,PO BOX 1727,SEWARD,AK,99664,,,,,9074220500,60.20885,-149.38716,4,122,2,6,,,,
8400200040,KENAI HISTORICAL SOCIETY,KENAI HISTORICAL SOCIETY INC,,HISTORIC PRESERVATION,,PO BOX 1348,KENAI,AK,99611,PO BOX 1348,KENAI,AK,99611,,60.58442,-151.23509,4,122,2,6,205241723,201412,0,0
8409503530,KIMURA GALLERY,UNIVERSITY OF ALASKA,,ART MUSEUM,UNIVERSITY OF ALASKA ANCHORAGE,3211 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,,,,,9077861800,64.81712,-147.87837,2,90,2,6,926000147,201306,,
8400200013,KIND HEART ALASKA MUSEUM,KIND HEART ALASKA MUSEUM,,GENERAL MUSEUM,,5 CHENA HOT SPRINGS RD,NORTH POLE,AK,99705,,,,,9074900054,64.77904,-147.3687,2,,2,6,,,,
8400200186,KLONDIKE GOLD RUSH NATIONAL HISTORICAL PARK,KLONDIKE GOLD RUSH NATIONAL HISTORICAL PARK,,HISTORIC PRESERVATION,,PO BOX 517,SKAGWAY,AK,99840,,,,,9079832921,59.45637,-135.31356,4,230,2,6,,,,
8400200017,KNIK MUSEUM,WASILLA-KINK HISTORICAL SOCIETY,,HISTORY MUSEUM,,KNIK RD,WASILLA,AK,99654,300 NORTH BOUNDARY STREET,WASILLA,AK,99654,9073762005,61.58245,-149.43945,3,170,2,6,920058042,201312,39167,36901
8400200157,KODIAK HISTORICAL SOCIETY,KODIAK HISTORICAL SOCIETY,KODIAK HISTORICAL SOCIETY,HISTORIC PRESERVATION,,101 E MARINE WAY,KODIAK,AK,99615,,,,,9074865920,57.7885,-152.39915,3,150,2,6,926002560,201306,333248,288158
8400200144,KODIAK MARITIME MUSEUM AND ART CENTER,KODIAK MARITIME MUSEUM AND ART CENTER,KODIAK MARITIME MUSEUM,ART MUSEUM,,PO BOX 1876,KODIAK,AK,99615,500 DOG BAY DRIVE,KODIAK,AK,99615,9074860384,57.79263,-152.40165,3,,2,6,920165430,201312,85602,85352
8400200014,KODIAK MILITARY HISTORY MUSEUM,KODIAK MILITARY HISTORY MUSEUM,,HISTORY MUSEUM,,1417 MILL BAY RD,KODIAK,AK,99615,,,,,9074867015,57.79856,-152.38722,4,150,2,6,,,,
8400200183,LAKE CLARK NATIONAL PARK AND PRESERVE,LAKE CLARK NATIONAL PARK AND PRESERVE,,HISTORIC PRESERVATION,,GENERAL DELIVERY,PORT ALSWORTH,AK,99653,,,,,9077812218,60.36206,-154.5406,4,164,2,6,,,,
